service_id,date,exception_type
1,20180526,1
1,20180528,1
1,20180602,1
1,20180609,1
1,20180616,1
1,20180623,1
1,20180630,1
1,20180707,1
1,20180714,1
1,20180721,1
1,20180728,1
1,20180804,1
1,20180811,1
1,20180818,1
1,20180825,1
1,20180901,1
1,20180908,1
1,20180915,1
1,20180922,1
1,20180929,1
1,20181006,1
1,20181013,1
1,20181020,1
1,20181027,1
1,20181103,1
1,20181110,1
1,20181117,1
2,20180527,1
2,20180603,1
2,20180610,1
2,20180617,1
2,20180624,1
2,20180701,1
2,20180708,1
2,20180715,1
2,20180722,1
2,20180729,1
2,20180805,1
2,20180812,1
2,20180819,1
2,20180826,1
2,20180902,1
2,20180909,1
2,20180916,1
2,20180923,1
2,20180930,1
2,20181007,1
2,20181014,1
2,20181021,1
2,20181028,1
2,20181104,1
2,20181111,1
2,20181118,1
3,20180523,1
3,20180524,1
3,20180525,1
3,20180529,1
3,20180530,1
3,20180531,1
3,20180601,1
3,20180604,1
3,20180605,1
3,20180606,1
3,20180607,1
3,20180608,1
3,20180611,1
3,20180612,1
3,20180613,1
3,20180614,1
3,20180615,1
3,20180618,1
3,20180619,1
3,20180620,1
3,20180621,1
3,20180622,1
3,20180625,1
3,20180626,1
3,20180627,1
3,20180628,1
3,20180629,1
3,20180702,1
3,20180703,1
3,20180704,1
3,20180705,1
3,20180706,1
3,20180709,1
3,20180710,1
3,20180711,1
3,20180712,1
3,20180713,1
3,20180716,1
3,20180717,1
3,20180718,1
3,20180719,1
3,20180720,1
3,20180723,1
3,20180724,1
3,20180725,1
3,20180726,1
3,20180727,1
3,20180730,1
3,20180731,1
3,20180801,1
3,20180802,1
3,20180803,1
3,20180806,1
3,20180807,1
3,20180808,1
3,20180809,1
3,20180810,1
3,20180813,1
3,20180814,1
3,20180815,1
3,20180816,1
3,20180817,1
3,20180820,1
3,20180821,1
3,20180822,1
3,20180823,1
3,20180824,1
3,20180827,1
3,20180828,1
3,20180829,1
3,20180830,1
3,20180831,1
3,20180903,1
3,20180904,1
3,20180905,1
3,20180906,1
3,20180907,1
3,20180910,1
3,20180911,1
3,20180912,1
3,20180913,1
3,20180914,1
3,20180917,1
3,20180918,1
3,20180919,1
3,20180920,1
3,20180921,1
3,20180924,1
3,20180925,1
3,20180926,1
3,20180927,1
3,20180928,1
3,20181001,1
3,20181002,1
3,20181003,1
3,20181004,1
3,20181005,1
3,20181008,1
3,20181009,1
3,20181010,1
3,20181011,1
3,20181012,1
3,20181015,1
3,20181016,1
3,20181017,1
3,20181018,1
3,20181019,1
3,20181022,1
3,20181023,1
3,20181024,1
3,20181025,1
3,20181026,1
3,20181029,1
3,20181030,1
3,20181031,1
3,20181101,1
3,20181102,1
3,20181105,1
3,20181106,1
3,20181107,1
3,20181108,1
3,20181109,1
3,20181112,1
3,20181113,1
3,20181114,1
3,20181115,1
3,20181116,1
4,20180526,1
4,20180602,1
4,20180609,1
4,20180616,1
4,20180623,1
4,20180630,1
4,20180707,1
4,20180714,1
4,20180721,1
4,20180728,1
4,20180804,1
4,20180811,1
4,20180818,1
4,20180825,1
4,20180901,1
4,20180908,1
4,20180915,1
4,20180922,1
4,20180929,1
4,20181006,1
4,20181013,1
4,20181020,1
4,20181027,1
4,20181103,1
4,20181110,1
4,20181117,1
5,20180527,1
5,20180528,1
5,20180603,1
5,20180610,1
5,20180617,1
5,20180624,1
5,20180701,1
5,20180708,1
5,20180715,1
5,20180722,1
5,20180729,1
5,20180805,1
5,20180812,1
5,20180819,1
5,20180826,1
5,20180902,1
5,20180909,1
5,20180916,1
5,20180923,1
5,20180930,1
5,20181007,1
5,20181014,1
5,20181021,1
5,20181028,1
5,20181104,1
5,20181111,1
5,20181118,1
6,20180525,1
7,20180523,1
7,20180524,1
7,20180529,1
7,20180530,1
7,20180531,1
7,20180601,1
7,20180604,1
7,20180605,1
7,20180606,1
7,20180607,1
7,20180608,1
7,20180611,1
7,20180612,1
7,20180613,1
7,20180614,1
7,20180615,1
7,20180618,1
7,20180619,1
7,20180620,1
7,20180621,1
7,20180622,1
7,20180625,1
7,20180626,1
7,20180627,1
7,20180628,1
7,20180629,1
7,20180702,1
7,20180703,1
7,20180704,1
7,20180705,1
7,20180706,1
7,20180709,1
7,20180710,1
7,20180711,1
7,20180712,1
7,20180713,1
7,20180716,1
7,20180717,1
7,20180718,1
7,20180719,1
7,20180720,1
7,20180723,1
7,20180724,1
7,20180725,1
7,20180726,1
7,20180727,1
7,20180730,1
7,20180731,1
7,20180801,1
7,20180802,1
7,20180803,1
7,20180806,1
7,20180807,1
7,20180808,1
7,20180809,1
7,20180810,1
7,20180813,1
7,20180814,1
7,20180815,1
7,20180816,1
7,20180817,1
7,20180820,1
7,20180821,1
7,20180822,1
7,20180823,1
7,20180824,1
7,20180827,1
7,20180828,1
7,20180829,1
7,20180830,1
7,20180831,1
7,20180903,1
7,20180904,1
7,20180905,1
7,20180906,1
7,20180907,1
7,20180910,1
7,20180911,1
7,20180912,1
7,20180913,1
7,20180914,1
7,20180917,1
7,20180918,1
7,20180919,1
7,20180920,1
7,20180921,1
7,20180924,1
7,20180925,1
7,20180926,1
7,20180927,1
7,20180928,1
7,20181001,1
7,20181002,1
7,20181003,1
7,20181004,1
7,20181005,1
7,20181008,1
7,20181009,1
7,20181010,1
7,20181011,1
7,20181012,1
7,20181015,1
7,20181016,1
7,20181017,1
7,20181018,1
7,20181019,1
7,20181022,1
7,20181023,1
7,20181024,1
7,20181025,1
7,20181026,1
7,20181029,1
7,20181030,1
7,20181031,1
7,20181101,1
7,20181102,1
7,20181105,1
7,20181106,1
7,20181107,1
7,20181108,1
7,20181109,1
7,20181112,1
7,20181113,1
7,20181114,1
7,20181115,1
7,20181116,1
8,20180528,1
9,20180601,1
9,20180608,1
10,20180610,1
11,20180615,1
11,20180622,1
12,20180527,1
12,20180528,1
12,20180603,1
12,20180617,1
12,20180624,1
12,20180701,1
12,20180708,1
12,20180715,1
12,20180722,1
